id,sub detector,depth,ieta,iphi
1125136398,1,1,-14,14
1125136399,1,1,-14,15
1125136400,1,1,-14,16
1125136401,1,1,-14,17
1125136402,1,1,-14,18
1125136403,1,1,-14,19
1125136404,1,1,-14,20
1125136405,1,1,-14,21
1125136406,1,1,-14,22
1125136407,1,1,-14,23
1125136408,1,1,-14,24
1125136409,1,1,-14,25
1125136410,1,1,-14,26
1125136411,1,1,-14,27
1125136412,1,1,-14,28
1125136413,1,1,-14,29
1125136414,1,1,-14,30
1125136415,1,1,-14,31
1125136416,1,1,-14,32
1125136417,1,1,-14,33
1125136418,1,1,-14,34
1125136419,1,1,-14,35
1125136420,1,1,-14,36
1125136421,1,1,-14,37
1125136422,1,1,-14,38
1125136423,1,1,-14,39
1125136424,1,1,-14,40
1125136425,1,1,-14,41
1125136426,1,1,-14,42
1125136427,1,1,-14,43
1125136428,1,1,-14,44
1125136429,1,1,-14,45
1125136430,1,1,-14,46
1125136431,1,1,-14,47
1125136432,1,1,-14,48
1125136433,1,1,-14,49
1125136434,1,1,-14,50
1125136435,1,1,-14,51
1125136436,1,1,-14,52
1125136437,1,1,-14,53
1125136438,1,1,-14,54
1125136439,1,1,-14,55
1125136440,1,1,-14,56
1125136441,1,1,-14,57
1125136442,1,1,-14,58
1125136443,1,1,-14,59
